submitter_id.samples,mir_vae_1,mir_vae_2,mir_vae_3,mir_vae_4,mir_vae_5,mir_vae_6,mir_vae_7,mir_vae_8,mir_vae_9,mir_vae_10,mir_vae_11,mir_vae_12,mir_vae_13,mir_vae_14,mir_vae_15,mir_vae_16,mir_vae_17,mir_vae_18,mir_vae_19,mir_vae_20,mir_vae_21,mir_vae_22,mir_vae_23,mir_vae_24,mir_vae_25,mir_vae_26,mir_vae_27,mir_vae_28,mir_vae_29,mir_vae_30,mir_vae_31,mir_vae_32,label_mir
TCGA-EW-A3U0-01,0.3373508,-0.5749232,-0.056902427,0.8071479,0.8285015,-1.1452147,1.9093058,-0.65088606,-0.5625337,0.11264184,1.5108932,-0.3500797,0.7162092,2.0850272,1.3226824,-0.52646494,0.9275595,-0.6293867,1.7497559,0.19925085,0.6035445,0.60166967,0.77589965,-0.75339806,0.3017137,1.2590079,0.6208484,-0.38684812,0.4387831,1.20749,1.9470196,0.50394255,1
TCGA-EW-A423-01,-0.74365056,0.13805231,0.13768157,-0.6171484,0.019055186,1.05495,-0.2517568,0.62082475,-0.11225258,-0.47597787,-0.40602726,0.081272714,1.0590639,0.6515511,0.9686536,0.774844,-0.50759876,1.1239327,-1.3949609,0.7974194,-0.2031251,-1.2936398,1.3480386,-1.2159986,1.2804428,-0.06589702,-0.8255621,0.43329054,1.4479742,1.7960082,1.623255,0.7834055,1
TCGA-EW-A424-01,1.6654056,0.82255274,-0.22452156,0.52175015,1.2235959,1.5308058,-0.59088767,1.4016316,0.7798943,1.4054865,0.26599282,-0.6640189,1.5537481,0.96317977,1.4049195,-1.0730088,0.5373632,-0.9176616,-0.021185515,-0.6446814,-1.5505081,0.53441846,-0.26979235,-1.5357624,-2.397509,-0.010991742,-0.77270293,1.4230086,-1.9453013,-1.9822831,-1.5032451,-0.31107092,1
TCGA-EW-A6S9-01,-1.191389,-1.9267025,-1.1223041,0.97083205,-0.03357341,-0.22465506,-0.20448719,2.1012027,0.35415736,-0.8865399,-0.5227927,0.61731064,0.016326744,-0.2239943,-0.38713267,-0.26135212,1.3883334,2.0673277,-1.122034,0.40876698,-0.06793158,-0.6246424,0.56281716,0.09679203,0.034546614,-0.9236641,-0.4057646,-2.303392,2.1815195,-0.26131147,1.0205978,-1.133822,1
TCGA-EW-A6SA-01,0.37973922,-0.73251194,-0.9850512,1.093431,-1.264056,-2.2149436,0.22169133,0.41564795,0.9454101,0.0916585,-0.95121145,1.5124701,-0.774237,-0.53825086,-0.77507955,1.4391878,1.425877,0.059227053,-0.4891463,0.3897108,-0.71967363,-1.5527127,-1.3089095,-1.5425344,-1.4937071,0.27678752,-0.2872592,-0.11836168,2.0963209,-0.6186554,1.2445529,-0.7883513,1
TCGA-EW-A6SB-01,-1.3778566,0.31049183,-0.89221305,0.40260118,0.094165325,1.5471464,-0.30594605,-0.29079947,0.25763175,-0.15245342,0.19505715,0.7756959,0.50220186,0.81539625,-0.5073425,-0.30585802,0.25930393,-0.02110111,-0.020727772,1.78794,-0.12925954,0.41725698,0.70651937,-0.21163477,0.21426147,-1.7422308,1.0350419,-0.4236976,-1.4275836,-0.10419893,0.91381973,0.29771417,1
TCGA-EW-A6SC-01,0.01959221,-0.7283967,-0.6226772,-0.20800534,0.3733616,-0.59681827,0.35189116,0.30296364,0.23842162,-0.3107543,-0.64423704,1.2827388,-0.39736605,-0.21893129,0.11260324,0.8950715,-0.20594636,1.2527115,-0.09131477,-0.5981426,-1.0239605,-0.50247973,-0.88946086,-0.48044223,0.44904172,1.1080801,0.8247748,0.025573058,1.4424404,1.552421,-0.72875714,0.20254982,1
TCGA-EW-A6SD-01,-0.80409306,0.31115496,0.44896543,1.3264021,0.53387064,-0.86925435,-0.28574994,0.1425232,0.33058506,-0.8090373,-0.88274306,-0.13742904,-0.46073145,-1.5482335,-0.21581414,0.59221137,1.0156024,0.52791244,1.5204057,0.37232566,-0.85831815,-0.57193,0.19128314,-0.45834765,-2.2843654,0.9438558,-0.21635483,-0.81711125,-1.6832412,-0.63944405,0.34115657,0.8249268,1
TCGA-GI-A2C8-01,-1.6110759,-0.7420297,-1.2310759,-2.1443923,0.31936032,-1.5443529,0.44771397,-0.6935718,0.7111761,0.016226811,-0.28264254,1.6374316,-0.55661875,0.9163472,0.08963159,-0.21247968,-0.34243253,0.26191634,0.3124237,-0.6282611,0.13357162,1.7887534,1.9782542,0.7187816,0.3721392,0.96873,0.26356,0.3142531,-0.72105026,-1.5262476,-0.026975118,0.09117112,1
TCGA-GI-A2C8-11,-0.6856484,-1.7834272,0.83486694,-1.086926,1.5820407,-0.27517506,0.33346328,-0.03297538,0.17556082,-0.3076536,-0.12698333,0.5726975,0.7951957,0.6470565,0.8460034,-0.061388828,-1.7390112,0.038970314,-0.0925225,-1.94454,0.6083593,0.24096431,0.17868885,-0.30291063,-1.0934298,-0.32458487,0.05431271,-1.0326607,-0.38643155,0.14454538,0.073786594,0.84643775,1
TCGA-GI-A2C9-01,-0.12739089,0.25818065,-1.1632953,-1.8006766,0.8895742,-0.5954174,0.18300697,0.16409606,0.78391516,-0.36640024,1.0899249,1.0003645,-0.082028426,0.9199637,0.6481933,1.0044546,0.3363121,-1.025144,0.06562934,-1.0959563,0.80689925,0.9067732,-0.90683067,-0.36070156,0.65634733,-0.37867117,0.40969506,0.22529148,-0.8464399,0.51015455,-0.20963632,0.45754808,0
TCGA-GI-A2C9-11,0.74629235,-0.23069759,1.1743082,-0.40096995,-0.84340274,0.5088488,0.75667006,-1.2353318,-2.034074,-0.21900734,0.33896282,-0.17918912,-0.09290226,1.0055163,0.0264384,0.61812055,1.464376,0.3938572,1.3529967,0.15158044,0.55513,0.137756,1.49304,2.0567207,1.0850987,-0.6204482,-0.8102333,0.11960313,0.22958519,2.526665,-0.3557925,-0.048405256,0
TCGA-GM-A2D9-01,-1.8613878,0.375822,0.781915,0.026422653,-0.24011047,1.0426817,-1.1964102,1.7501398,-1.1219487,-0.09339804,-0.38809046,-0.89826035,0.12090906,-0.6444531,1.2345086,0.030736107,-0.8383795,-1.6687133,-2.0795975,0.40504658,0.4610833,-0.19492644,-0.9256364,-0.6285404,0.47301075,0.49461323,1.049171,0.08512361,-0.6935451,0.35123062,-1.6166996,-0.5670759,1
TCGA-GM-A2DA-01,-0.87912315,0.08977714,0.97203016,1.076718,-1.0933297,-0.51680136,0.6785375,0.1327466,2.447025,-0.7680227,-0.36139312,0.5822444,-0.078263395,1.1597995,-0.56145525,-1.1797161,-0.48979965,0.7271053,0.65888125,1.1497748,0.87661636,-0.34408265,0.0778572,-0.0018073409,-0.41415402,0.64239323,1.0937937,0.9722191,0.69195855,-1.6151164,0.72396415,-0.57514703,0
