submitter_id.samples,mrna_vae_1,mrna_vae_2,mrna_vae_3,mrna_vae_4,mrna_vae_5,mrna_vae_6,mrna_vae_7,mrna_vae_8,mrna_vae_9,mrna_vae_10,mrna_vae_11,mrna_vae_12,mrna_vae_13,mrna_vae_14,mrna_vae_15,mrna_vae_16,mrna_vae_17,mrna_vae_18,mrna_vae_19,mrna_vae_20,mrna_vae_21,mrna_vae_22,mrna_vae_23,mrna_vae_24,mrna_vae_25,mrna_vae_26,mrna_vae_27,mrna_vae_28,mrna_vae_29,mrna_vae_30,mrna_vae_31,mrna_vae_32,label_mrna
TCGA-LL-A5YM-01,0.49940583,1.2783729,2.0006347,0.77670044,0.029098395,0.028446628,-0.94876057,0.10245973,-0.7598299,-0.29037896,2.488396,-0.8823586,-0.40468577,0.92981297,-0.73103935,-1.2178404,-0.454924,0.20376965,0.88797426,-0.7948006,-1.7880538,0.24089788,0.8170968,-0.5723433,0.26097244,0.22112702,0.9859578,-0.004558035,-0.40574035,0.8549535,-1.3317794,-0.7549334,1
TCGA-LL-A5YN-01,0.23453799,-0.25180322,-0.67089844,0.15665168,2.1593666,-0.5456384,-1.0907624,0.4109069,1.2043201,1.8995963,-0.43676287,-0.049680777,-0.20169476,-1.279756,0.18190864,2.9911184,-1.3790203,-1.5128475,-0.28878605,-0.77790767,0.24933188,-0.32522056,0.34606954,-0.70838517,1.0505998,-0.4900072,-0.56040215,0.013335815,-1.3612103,0.6950581,-0.45655584,1.2166724,1
TCGA-LL-A5YO-01,-0.3274397,2.376481,0.050512668,-0.096658714,-0.13723426,-1.6354874,0.72404605,0.77999336,0.13616532,2.3441374,-0.3129829,0.60832167,-0.06846985,1.0350343,0.46903038,-0.7689311,1.5586632,-1.1488025,-2.2054505,0.46131957,0.17078783,0.46860352,-1.0275079,2.6211317,-0.08679364,-0.51939195,-1.1837732,0.9096404,1.2539922,-0.18716349,-0.26941076,1.3614447,1
TCGA-LL-A5YP-01,-0.8179122,0.8436515,0.9136927,0.07261001,0.40336293,-0.2422767,-0.6173159,-0.12003961,1.0633625,-0.609693,-1.0562801,-1.9876825,1.0555171,0.6572771,-1.6631072,0.04798914,0.7405548,-0.5221512,-0.31084517,-0.85650855,-0.6293432,1.2719305,-0.63358265,0.107457615,-0.42660186,-1.683712,-0.872775,0.05219706,0.62611055,-0.40966037,-0.3773562,0.7624055,1
TCGA-LL-A6FP-01,0.17628837,-0.418171,0.15595324,2.1428397,-1.5937998,0.19758597,-0.018765938,-1.342983,-2.0573282,1.5393109,-2.2475028,-0.72943616,-1.7847203,-0.008791488,1.1872629,-0.36225945,0.65797067,1.7008095,-0.87709105,-0.36343452,-0.027715428,0.41229293,-1.3285536,0.94689935,-1.1774102,0.8393906,-0.79524964,-0.93822026,-0.7059227,-0.526338,0.84028125,-0.09610123,1
TCGA-LL-A6FQ-01,-0.18069491,-0.8255593,-1.3633547,0.13643363,-0.12324395,0.4536431,0.48267186,0.36930904,1.771004,-0.5892565,-0.6008088,-0.79019237,1.0422919,0.192375,-0.2665309,-0.8109784,-0.10325633,-0.473064,1.6001292,-0.48757687,0.6773304,0.59420353,0.30189693,1.4323034,1.8502206,1.2658796,1.039789,-1.0830435,0.63763,-1.1325474,0.30272394,0.19901682,1
TCGA-LL-A6FR-01,0.2760994,-0.71543944,-1.6940075,0.38247135,-0.67098415,-0.7543268,1.0359138,1.1161164,-0.81119955,1.0743946,0.4820282,-0.36173066,0.80279064,1.5169669,1.6856846,-0.22872789,-1.1440903,-0.7669656,0.08003289,-0.4704925,0.8251884,0.5283904,1.0272732,1.3095734,2.1486554,-1.8918228,0.7265109,-0.11232456,0.99711764,-0.23890318,1.2044841,-1.2348062,1
TCGA-LL-A73Y-01,-0.742266,0.8112181,0.07536757,0.989691,0.83249545,-0.8193057,-0.6500699,1.2168112,0.71998847,-0.18535955,0.14612877,-0.8411457,1.1922935,1.779918,0.22419727,0.16461702,1.2857224,-0.056235746,-0.13508107,2.4952686,0.12303944,-0.20731759,-0.42176053,0.85344887,-0.10210688,0.55540407,-0.52338094,-1.3199978,-1.1804531,0.2013156,-1.1695552,-1.6344984,1
TCGA-LL-A73Z-01,0.45844072,1.5129467,-0.66260946,-0.9458124,0.68347937,0.83918434,-0.40360594,0.40973336,-1.0445048,1.0521827,-2.6201248,-1.8534961,-0.7215326,0.5493368,-0.13903068,0.8024362,0.4439351,0.4823108,0.3544883,1.4827331,0.10059301,1.2625296,1.4062865,-1.4430205,-0.46064407,0.49277154,0.875365,-1.2160417,0.39478382,0.18938118,0.507781,0.5888506,1
TCGA-LL-A740-01,-0.94346374,-0.030095208,2.8781283,-0.47385135,0.89021194,-0.2199423,1.2009674,-0.39043438,0.16078235,-2.3498049,0.6929912,-0.9590582,-0.3200065,0.41752505,-0.25801304,-1.2224674,0.88999677,-0.11554916,1.0143892,-0.2783738,0.1946203,-0.4622622,0.27005175,-1.1043411,0.9944308,0.7412619,-0.3788015,-1.5215513,-1.687463,1.3896717,-1.7983458,-0.5701152,1
