submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-A2-A0CM-01,-0.50439715,-1.2788265,-0.7501775,1.6904243,-0.017242862,-0.06979374,2.2030597,0.67763,0.16078372,0.09367675,0.26380396,-0.75953966,-0.66997325,-1.2971412,1.31026,0.37890875,-0.09532745,-2.8259194,1.5345268,-0.43661553,-0.58634794,0.16381738,-1.8865554,0.62505394,-0.39658067,0.8948727,-0.6559515,-1.1547867,-0.2432126,0.30399835,0.8597628,-1.3892571,1
TCGA-A2-A0CO-01,0.33454058,0.23157136,-0.73426086,0.70901346,-0.12454493,0.2964819,-0.47694996,0.5018653,0.0031935188,-0.20328775,0.52595866,-0.35490787,-1.1791339,-1.4170337,-1.1402978,-0.3330073,0.19842641,-0.14976436,0.67560077,-0.92742306,-1.7424657,-2.0198421,0.06277544,-0.87374145,-0.21321106,1.6776437,-0.23799431,1.7111102,0.19393118,-0.5985234,-0.67200935,-1.1803414,0
TCGA-A2-A0CP-01,0.7048087,-0.2572902,2.1837666,0.019248419,-0.17539576,0.74253905,-0.52468854,-0.5030294,-0.68516976,0.47091827,1.428256,-0.8264196,0.93132555,0.59386593,-1.8238838,-1.6901076,0.5047587,-0.14866538,0.15778361,-0.6956995,-0.64456475,-1.6687198,1.4053801,-1.1555169,2.467312,0.3946321,-1.5535848,1.8166091,0.07442136,1.2064774,-0.29918116,-0.8258419,0
TCGA-A2-A0CQ-01,0.25431657,-2.080568,-0.64185077,0.2720997,1.1396735,0.9506572,0.14575401,-0.7119287,1.0338665,0.07148407,-2.1196141,1.2160431,-0.49518514,0.3213599,-0.48074272,0.22351438,0.45965165,1.9390378,-0.39144388,0.08978864,-0.1898043,-1.2964711,-1.099177,0.18583895,-0.45961136,0.49929345,0.28123236,-1.5305547,0.59147334,-0.9315324,1.2154229,0.5413903,0
TCGA-A2-A0CR-01,0.38526535,-1.2325761,0.24868642,0.02816181,-0.58842534,0.60298496,-0.46014667,-1.2558421,0.39723238,1.1617423,0.7939874,-0.40955868,-0.964469,1.2899868,-0.856835,-0.23617443,0.1158357,-0.7391318,0.8853631,0.85907805,0.20393813,1.0229325,1.609623,0.6209339,-0.14011207,0.36482996,-0.58974373,-0.47778466,-0.40160584,-0.56280154,0.4256521,-2.136028,0
TCGA-A2-A0CS-01,-0.6761771,-0.091259584,0.98097736,1.4588054,0.0509162,-0.43834215,-1.8015614,-0.795629,-0.9486653,0.15375315,-1.2998612,-1.4289904,1.1078248,1.4090589,1.1019145,-0.4889692,-0.83015406,0.19862519,-1.26053,-1.2827612,-0.8269019,0.56129885,-1.7864082,-0.35211384,1.1901551,-1.661702,-0.3999015,0.22126673,0.41234046,1.3699191,-0.28731692,-0.2745598,0
TCGA-A2-A0CT-01,-0.8533987,-0.054490168,-1.1440318,0.5980818,0.8885164,-0.3681273,1.5130174,0.08163246,-0.62315834,-0.1228815,-0.5820807,0.27045754,0.9285198,0.7459282,-0.3598604,1.1996232,-0.26318586,2.8260899,-0.60603136,1.5158612,-0.7544437,0.3371765,0.19836311,-1.1733458,-2.2002985,-0.5887763,1.7628765,-0.9112221,-0.61927867,0.580854,2.4480338,0.088713646,0
TCGA-A2-A0CU-01,0.10177237,0.2195954,-0.02905312,-0.14750594,-1.6442727,-0.17058036,-0.9855387,0.5954837,0.0093881,-0.16661184,-0.121128894,0.25438213,-0.18881582,-0.7117337,0.73392016,-2.121608,0.6373786,-0.044018414,0.91333884,-0.78268594,0.25792232,1.558396,0.008520786,-0.31560892,-1.0162543,-0.01131159,1.5243083,-0.81660885,-2.0239184,0.4866171,1.0534965,-0.3203374,1
TCGA-A2-A0CV-01,0.95435303,-1.0248388,-0.85900503,0.124021895,-0.6158299,2.5090508,-0.0725708,-1.8822029,0.4116835,-1.0754473,-0.33605415,0.60356444,1.076283,-0.9605732,-0.084349364,-0.8973518,-0.9715858,-1.586673,-0.24280964,-2.084919,0.67289823,0.80733,-0.46693817,0.35057747,0.08396613,0.46561736,-0.70599735,-0.19007619,-0.37448567,0.1177057,-0.62070465,0.10969587,0
TCGA-A2-A0CW-01,0.18221131,-0.777082,-1.2215238,-0.10339969,-0.16322291,0.81346536,1.0775152,-2.2803848,-2.469771,1.0282711,-0.15427166,-0.8325094,-1.2436583,0.6741876,1.576244,0.30315506,0.26327133,0.714457,-0.83459955,-1.0712886,-0.75006324,0.2373068,-0.65789396,0.45622873,0.60717475,0.12397286,-0.63256,-1.075226,-2.4306662,2.0034447,0.114246905,-0.035856646,0
TCGA-A2-A0CX-01,0.73698145,0.45030555,-0.18004988,-0.70439446,0.477818,2.5537262,-1.400731,-1.2848871,0.763112,0.016172122,-0.24886423,0.4795924,-0.38569936,-0.23933804,0.2737524,2.2372732,-0.91972685,-0.33677378,-0.09229781,-0.31869456,0.068512395,0.6895187,-0.18221593,-0.7194749,1.511282,-0.9342631,1.6574227,0.23843196,-1.3777103,-0.13025194,-0.097332835,2.7029943,1
