submitter_id.samples,dna_vae_1,dna_vae_2,dna_vae_3,dna_vae_4,dna_vae_5,dna_vae_6,dna_vae_7,dna_vae_8,dna_vae_9,dna_vae_10,dna_vae_11,dna_vae_12,dna_vae_13,dna_vae_14,dna_vae_15,dna_vae_16,dna_vae_17,dna_vae_18,dna_vae_19,dna_vae_20,dna_vae_21,dna_vae_22,dna_vae_23,dna_vae_24,dna_vae_25,dna_vae_26,dna_vae_27,dna_vae_28,dna_vae_29,dna_vae_30,dna_vae_31,dna_vae_32,label_dna
TCGA-BH-A1EO-11,-1.74915,1.8972012,1.311889,-0.03199918,0.583483,1.3945787,0.076373965,2.1888793,-1.7126747,-1.4087466,0.24295938,0.37845305,0.97544557,0.7217556,0.87910664,1.4304916,-0.24376372,-0.79200566,-0.119187474,-0.3407995,1.3048149,-0.09432474,-0.42589384,-0.9113012,2.169021,-0.8812123,-0.22506124,-0.28411996,-0.13875143,0.1526608,0.44433466,0.7053491,0
TCGA-BH-A1ES-01,-0.19729955,-0.41154066,0.9041497,-0.1557776,-1.5802238,0.51758695,-0.5581154,-1.0762973,-0.8050451,0.863507,0.33588812,1.121167,-0.09883328,0.029735805,0.16910459,-0.45711723,-0.546631,1.7646319,0.8380873,0.83445704,0.4680077,-1.7601225,0.46271265,0.6446338,0.87800455,-1.928505,-0.48662144,-1.7855011,1.9022896,0.67641765,0.39488313,0.053998336,0
TCGA-BH-A1ES-06,0.89714676,1.4417558,0.23803549,0.89298236,-1.2354137,-1.4653376,-0.7798957,-0.9807776,0.2620622,1.4393361,0.020750277,-0.75021285,0.04236444,-1.1982852,-0.9139887,0.49198174,0.8998968,0.1914024,1.4260594,-1.3311713,1.0248411,2.0981355,0.45697904,-0.34423614,0.32806745,0.50032306,-0.67567855,-0.45925447,-2.6146963,0.21920875,1.057218,0.23301324,0
TCGA-BH-A1ES-11,-1.5464267,-0.63505226,0.9713417,-0.025050389,-0.68451744,-0.17851871,0.65110195,-0.57329077,1.4746357,0.18638523,0.0093656,0.24226654,0.33479944,-1.0817621,-0.2270387,0.562684,-0.47972402,0.078089654,0.17507963,0.08190924,-1.2703118,0.09251352,-0.2220999,-0.6378852,-1.5323576,0.059710115,1.5531601,-0.81522596,0.28014934,-1.5572691,-2.4974027,1.7499946,0
TCGA-BH-A1ET-01,-0.6052266,-0.5117415,0.28472543,0.76748025,-0.47457623,-0.45425007,-0.7186629,-0.82017267,-0.38663206,-0.101191044,-0.35065374,-0.55720544,-1.1521522,0.18395048,0.60462046,0.34192187,-0.005864914,0.17426255,0.25555253,0.33912674,-2.8927,-1.3588697,-1.2828422,-1.6182482,0.3209636,0.28504565,-0.79118395,-0.88144517,1.8170859,1.7225617,-0.98736453,1.03591,0
TCGA-BH-A1ET-11,-0.041513685,-0.4004852,-0.65085435,-0.09079477,1.217281,0.03124234,2.1519284,-0.16137935,0.09999322,-0.11985019,-0.71212184,0.48384607,0.41732487,0.010834595,0.41382638,2.1542792,-1.6709186,-0.21755537,0.13196701,1.44321,-1.4981782,2.6034439,-0.8703349,1.4490918,-0.7100039,-0.46998093,0.5430662,-0.02699931,0.59218,0.19267268,-0.088024646,-0.41508162,0
TCGA-BH-A1EU-01,-0.31937307,0.70363283,0.114221476,0.74787253,-0.16487661,0.9837379,-2.5101352,1.0069271,-0.91215235,-0.7166607,-0.010565762,-0.28112358,-1.190816,-0.58527386,-1.0620439,0.22163339,-0.94466215,1.472102,0.7946601,-0.78011906,0.7503304,0.93384516,-0.6254821,0.36744922,-0.82832783,-0.121998966,1.4265478,-0.9352202,1.24867,1.7488366,-0.3498053,-0.44017845,1
TCGA-BH-A1EU-11,0.20442948,-1.0139381,0.04433728,0.0104857925,-0.40603444,-0.73119646,-1.2619348,-0.6752686,-0.058738902,0.5297202,0.03850485,-0.3683643,-0.37637627,-0.64474714,0.16494346,0.6827995,-1.2587885,0.85970956,-2.3139517,-0.74416876,-0.4034293,0.41371647,-1.3784194,-0.60469115,1.5163393,0.42427877,-0.05084669,-0.060600877,-0.59483916,-0.015223118,-0.7657227,-1.8198858,1
TCGA-BH-A1EV-01,0.63857985,-0.26494554,0.43619674,0.42279303,2.8651178,0.18123478,-0.35067335,-0.6442368,1.0690423,-0.21300325,-1.3757901,1.1822227,0.51087224,-0.11929276,-0.35006818,0.078085564,-1.1674281,-0.8421244,1.415273,0.57033086,-0.019295635,0.8485199,-1.093382,1.5191153,0.4791457,-1.4097592,-1.531161,-1.365119,0.41225332,-0.88899684,-1.3468376,0.6929516,1
TCGA-BH-A1EV-11,0.92077,1.304518,-0.30752265,-1.2330017,-0.9293851,1.2358619,0.9498516,-0.728521,0.54809976,-0.14892708,0.3729025,0.94263977,-0.41983333,1.2828119,-0.4966565,0.24684794,1.4725132,-0.29992482,-0.64696354,-0.842712,1.3023905,0.40461442,0.13822493,-1.1186464,0.9566544,0.7494509,-2.1621618,0.18559262,-0.962082,0.033838443,-2.1280773,0.40852427,1
